Date,Time,Temp,Humi,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:32:54,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:33:04,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:33:14,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:33:24,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:33:34,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:33:44,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:33:54,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:34:04,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:34:14,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:34:24,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:34:34,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:34:44,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:34:54,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:35:04,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:35:14,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:35:24,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:35:34,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:35:44,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:35:54,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:36:04,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:36:14,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:36:24,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:36:34,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:36:44,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:36:54,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:37:04,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:37:14,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:37:24,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:37:34,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:37:44,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:37:54,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:38:05,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:38:15,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:38:25,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:38:35,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:38:45,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:38:55,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:39:05,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:39:15,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:39:25,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:39:35,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:39:45,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:39:55,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:40:05,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:40:15,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:40:25,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:40:35,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:40:45,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:40:55,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:41:05,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:41:15,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:41:25,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:41:35,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:41:45,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:41:55,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:42:05,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:42:15,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:42:25,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:42:35,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:42:45,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:42:55,30.5,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:43:05,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:43:15,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:43:25,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:43:35,30.4,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:43:45,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:43:55,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:44:05,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:44:15,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:44:25,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:44:35,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:44:45,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:44:55,30.5,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:45:05,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:45:15,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:45:25,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:45:36,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:45:46,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:45:56,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:46:06,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:46:16,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:46:26,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:46:36,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:46:46,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:46:56,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:47:06,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:47:16,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:47:26,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:47:36,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:47:46,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:47:56,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:48:06,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:48:16,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:48:26,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:48:36,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:48:46,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:48:56,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:49:06,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:49:16,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:49:26,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:49:36,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:49:46,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:49:56,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:50:06,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:50:16,30.6,78,,,,,,,,,,,,,,,,,,,,,,
